================ Training Loss (Sun Jan  8 16:54:37 2023) ================
(epoch: 21, iters: 300, time: 0.025, data: 0.001) G_GAN: 2.087 G_L1: 23.928 D_real: 0.233 D_fake: 0.183 
(epoch: 21, iters: 400, time: 0.082, data: 0.001) G_GAN: 3.182 G_L1: 30.076 D_real: 0.479 D_fake: 0.029 
(epoch: 22, iters: 100, time: 0.023, data: 0.168) G_GAN: 1.051 G_L1: 34.294 D_real: 0.242 D_fake: 0.440 
(epoch: 22, iters: 200, time: 0.023, data: 0.001) G_GAN: 1.665 G_L1: 29.294 D_real: 0.944 D_fake: 0.025 
(epoch: 22, iters: 300, time: 0.023, data: 0.001) G_GAN: 2.492 G_L1: 45.337 D_real: 0.000 D_fake: 0.275 
(epoch: 22, iters: 400, time: 0.081, data: 0.001) G_GAN: 2.439 G_L1: 25.949 D_real: 0.945 D_fake: 0.045 
(epoch: 23, iters: 100, time: 0.023, data: 0.178) G_GAN: 3.047 G_L1: 29.377 D_real: 0.119 D_fake: 0.078 
(epoch: 23, iters: 200, time: 0.023, data: 0.001) G_GAN: 3.143 G_L1: 37.812 D_real: 0.004 D_fake: 0.078 
(epoch: 23, iters: 300, time: 0.024, data: 0.001) G_GAN: 2.728 G_L1: 36.279 D_real: 0.004 D_fake: 0.520 
(epoch: 23, iters: 400, time: 0.086, data: 0.001) G_GAN: 1.342 G_L1: 23.987 D_real: 1.036 D_fake: 0.116 
(epoch: 24, iters: 100, time: 0.024, data: 0.184) G_GAN: 2.031 G_L1: 27.522 D_real: 0.346 D_fake: 0.469 
(epoch: 24, iters: 200, time: 0.025, data: 0.001) G_GAN: 3.656 G_L1: 24.870 D_real: 0.323 D_fake: 0.054 
(epoch: 24, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.881 G_L1: 23.627 D_real: 0.492 D_fake: 0.182 
(epoch: 24, iters: 400, time: 0.087, data: 0.001) G_GAN: 0.918 G_L1: 24.916 D_real: 0.509 D_fake: 0.399 
(epoch: 25, iters: 100, time: 0.023, data: 0.184) G_GAN: 1.761 G_L1: 28.921 D_real: 0.281 D_fake: 0.397 
(epoch: 25, iters: 200, time: 0.024, data: 0.001) G_GAN: 4.508 G_L1: 39.122 D_real: 0.101 D_fake: 0.015 
(epoch: 25, iters: 300, time: 0.023, data: 0.001) G_GAN: 2.234 G_L1: 37.808 D_real: 0.592 D_fake: 0.160 
(epoch: 25, iters: 400, time: 0.081, data: 0.001) G_GAN: 1.498 G_L1: 29.789 D_real: 0.367 D_fake: 0.381 
(epoch: 26, iters: 100, time: 0.023, data: 0.181) G_GAN: 1.465 G_L1: 24.063 D_real: 0.955 D_fake: 0.823 
(epoch: 26, iters: 200, time: 0.023, data: 0.001) G_GAN: 3.369 G_L1: 40.885 D_real: 0.006 D_fake: 0.623 
(epoch: 26, iters: 300, time: 0.023, data: 0.001) G_GAN: 2.029 G_L1: 28.729 D_real: 1.871 D_fake: 0.030 
(epoch: 26, iters: 400, time: 0.093, data: 0.001) G_GAN: 1.636 G_L1: 27.296 D_real: 0.310 D_fake: 0.666 
